# Iter057W canonical normalized R10/kappa^5
# preregistration=7e6336d195985b2059966eda64859da86c9e9d15
# implementation=ad14ccd72a1a3ca75ab95acb0e294c6707b14627
# production_runs=35034092694,35034524501
# artifacts=10423276358,10423176041
# scientific_payload_sha256=359b27d478b5b4927bc7df0c98a361f0177bba57e5550433662cd21138f75571
a,b,t,x,y,z,R10_over_kappa5
1,3,2,3,2,3,-190488
1,3,2,5,0,3,-952440
1,3,4,1,0,5,2387328
1,3,4,1,2,3,-270704
1,3,4,3,0,3,-812112
1,3,6,1,0,3,-219520
2,2,0,0,0,10,21413760
2,2,0,0,2,8,-2852544
2,2,0,0,4,6,-464016
2,2,0,0,6,4,-135360
2,2,0,0,8,2,483840
2,2,0,2,0,8,-2204224
2,2,0,2,2,6,428176
2,2,0,2,4,4,-234048
2,2,0,2,6,2,74880
2,2,0,4,0,6,3033072
2,2,0,4,2,4,-441024
2,2,0,4,4,2,48384
2,2,0,6,0,4,-3240000
2,2,0,6,2,2,86400
2,2,0,8,0,2,645120
2,2,2,0,0,8,-1206656
2,2,2,0,2,6,1344736
2,2,2,0,4,4,-1963680
2,2,2,0,6,2,1641600
2,2,2,2,0,6,1687072
2,2,2,2,2,4,-523360
2,2,2,2,4,2,258624
2,2,2,4,0,4,-1176480
2,2,2,4,2,2,188928
2,2,2,6,0,2,596160
2,2,4,0,0,6,7421312
2,2,4,0,2,4,-2448352
2,2,4,0,4,2,1108944
2,2,4,2,0,4,-1472800
2,2,4,2,2,2,238256
2,2,4,4,0,2,320592
2,2,6,0,0,4,-1756160
2,2,6,0,2,2,109760
2,2,6,2,0,2,-109760
2,3,0,0,1,9,4001024
2,3,0,0,3,7,1161408
2,3,0,0,5,5,-779040
2,3,0,0,7,3,292320
2,3,0,2,1,7,387136
2,3,0,2,3,5,-155808
2,3,0,2,5,3,41760
2,3,0,4,1,5,-155808
2,3,0,4,3,3,25056
2,3,0,6,1,3,41760
2,3,2,0,1,7,222720
2,3,2,0,3,5,1176624
2,3,2,0,5,3,-952440
2,3,2,2,1,5,392208
2,3,2,2,3,3,-190488
2,3,2,4,1,3,-190488
2,3,4,0,1,5,2387328
2,3,4,0,3,3,-812112
2,3,4,2,1,3,-270704
2,3,6,0,1,3,-219520
3,3,0,0,0,10,-19158016
3,3,0,0,2,8,-1820160
3,3,0,0,4,6,3048864
3,3,0,0,6,4,-1681920
3,3,0,0,8,2,-1370880
3,3,0,2,0,8,-1820160
3,3,0,2,2,6,1016288
3,3,0,2,4,4,-336384
3,3,0,2,6,2,-195840
3,3,0,4,0,6,3048864
3,3,0,4,2,4,-336384
3,3,0,4,4,2,-117504
3,3,0,6,0,4,-1681920
3,3,0,6,2,2,-195840
3,3,0,8,0,2,-1370880
3,3,2,0,0,8,-6061312
3,3,2,0,2,6,269824
3,3,2,0,4,4,1501728
3,3,2,0,6,2,-2477520
3,3,2,2,0,6,269824
3,3,2,2,2,4,500576
3,3,2,2,4,2,-495504
3,3,2,4,0,4,1501728
3,3,2,4,2,2,-495504
3,3,2,6,0,2,-2477520
3,3,4,0,0,6,-5078016
3,3,4,0,2,4,2551616
3,3,4,0,4,2,-1924800
3,3,4,2,0,4,2551616
3,3,4,2,2,2,-641600
3,3,4,4,0,2,-1924800
3,3,6,0,0,4,1975680
3,3,6,0,2,2,-768320
3,3,6,2,0,2,-768320
