# Iter057X canonical degree-six Weyl3 source normalized coefficients
# preregistration=b5f88ced655c4fa409c4ccb9c27eb84054ecfad7
# implementation=920b73f8430983255081b9bcd3ec6d222b737b08
# scientific_payload_sha256=7a85a8b78e6876810ecefc6e1b37efea956caa41f26d54f4f8b9dcf16ca45249
a,b,t,x,y,z,Shat_over_kappa6,value
2,3,4,0,1,1,-48217792,-3085938688/244140625
3,3,0,0,0,6,118532736,7586095104/244140625
3,3,0,0,2,4,-15891840,-203415552/48828125
3,3,0,0,4,2,-2904960,-37183488/48828125
3,3,0,0,6,0,-67852800,-173703168/9765625
3,3,0,2,0,4,-15891840,-203415552/48828125
3,3,0,2,2,2,-968320,-12394496/48828125
3,3,0,2,4,0,-13570560,-173703168/48828125
3,3,0,4,0,2,-2904960,-37183488/48828125
3,3,0,4,2,0,-13570560,-173703168/48828125
3,3,0,6,0,0,-67852800,-173703168/9765625
3,3,2,0,0,4,-53742464,-3439517696/244140625
3,3,2,0,2,2,14148928,905531392/244140625
3,3,2,0,4,0,-74639616,-4776935424/244140625
3,3,2,2,0,2,14148928,905531392/244140625
3,3,2,2,2,0,-24879872,-1592311808/244140625
3,3,2,4,0,0,-74639616,-4776935424/244140625
3,3,4,0,0,2,79424640,1016635392/48828125
3,3,4,0,2,0,-100767232,-6449102848/244140625
3,3,4,2,0,0,-100767232,-6449102848/244140625
3,3,6,0,0,0,-145059200,-371351552/9765625
